id,tipo_guloso,melhora
it_1,simples,4.76
it_2,duas-pontas,38.33
it_3,simples,59.56
it_4,duas-pontas,68.66
it_5,simples,76.07
it_6,duas-pontas,77.3
it_7,simples,88.76
it_8,duas-pontas,89.87
it_9,simples,28.09
it_10,duas-pontas,53.57
it_11,simples,95.58
it_12,duas-pontas,95.77
it_13,simples,-2.22
it_14,simples,-2.33
it_15,simples,-9.09
it_16,simples,35.25
it_17,simples,48.79
it_18,simples,38.75
it_19,simples,74.96
it_20,simples,72.73
it_21,simples,69.56
it_22,simples,61.7
it_23,simples,84.29
it_24,simples,85.57
