id,melhora_trivial,melhora_guloso,diff_trivial_guloso
it_1,26.19,25.0,3.23
it_2,50.0,18.92,0.0
it_3,61.76,12.67,7.65
it_4,70.11,8.35,3.9
it_5,79.12,11.52,-1.4
it_6,79.21,12.5,4.46
it_7,89.83,17.29,8.64
it_8,90.74,9.83,1.43
it_9,39.61,18.33,2.74
it_10,62.01,19.85,2.07
it_11,96.38,17.47,-0.6
it_12,96.36,15.4,1.68
it_13,15.56,17.39,0.0
it_14,16.28,18.18,0.0
it_15,11.36,22.92,5.13
it_16,38.42,6.04,1.2
it_17,52.9,9.08,1.15
it_18,45.13,10.77,0.4
it_19,78.15,12.18,-0.67
it_20,76.8,14.73,-0.25
it_21,74.46,15.51,-0.69
it_22,66.92,14.93,1.51
it_23,86.54,15.27,1.1
it_24,87.48,14.65,1.64
