id,trivial,busca_local,guloso_busca_local,guloso
it_1,42,31,30,40
it_2,60,30,30,37
it_3,22205,8492,7842,8980
it_4,28043,8383,8056,8790
it_5,3410,712,722,816
it_6,3454,718,686,784
it_7,26298,2675,2444,2955
it_8,27213,2521,2485,2756
it_9,5554,3354,3262,3994
it_10,8788,3339,3270,4080
it_11,557633555,20205428,20327483,24630960
it_12,557770011,20281802,19940298,23570849
it_13,45,38,38,46
it_14,43,36,36,44
it_15,44,39,37,48
it_16,25605,15768,15578,16580
it_17,23005,10835,10710,11780
it_18,23805,13062,13010,14580
it_19,3410,745,750,854
it_20,3410,791,793,930
it_21,3410,871,877,1038
it_22,3410,1128,1111,1306
it_23,26298,3539,3500,4131
it_24,26298,3293,3239,3795
